island,site,lat,lon
Antigua,Mermaid's Garden,16.997156,-61.756384
Antigua,Pillars,16.999784,-61.762048
Antigua,Snapper Point,17.001426,-61.767541
Antigua,Windward,17.004217,-61.777496
Antigua,Turtle Bay,17.00947,-61.792774
Antigua,Rendezvous,17.011931,-61.80479
Barbuda,Pallaster West,17.523917,-61.766195
Barbuda,Pallaster East,17.52775,-61.7474
Barbuda,Pallaster Mid,17.52275,-61.755933
Bonaire,18th Palm,12.143388,-68.28009
Bonaire,Front Porch,12.16596,-68.28956
Bonaire,Karpata,12.216432,-68.353227
Bonaire,Oil Slick,12.198814,-68.310601