"","Site","Island","g.frac.mean","g.frac.se","BR.mean","BR.se","FR.mean","FR.se","for.dur.mean","for.dur.se","for.bites.mean","for.bites.se","int.tot.mean","int.tot.se","int.scar.mean","int.scar.se","int.con.mean","int.con.se","int.hetscar.mean","int.hetscar.se","int.dam.mean","int.dam.se","g.frac.mean_qup","g.frac.mean_rbp","g.frac.mean_stop","g.frac.se_qup","g.frac.se_rbp","g.frac.se_stop","int.scar.mean_qup","int.scar.mean_rbp","int.scar.mean_stop","int.scar.se_qup","int.scar.se_rbp","int.scar.se_stop","g.frac.mean_qup_i","g.frac.mean_qup_t","g.frac.mean_rbp_i","g.frac.mean_rbp_t","g.frac.mean_stop_i","g.frac.mean_stop_t","g.frac.se_qup_i","g.frac.se_qup_t","g.frac.se_rbp_i","g.frac.se_rbp_t","g.frac.se_stop_i","g.frac.se_stop_t","int.scar.mean_qup_i","int.scar.mean_qup_t","int.scar.mean_rbp_i","int.scar.mean_rbp_t","int.scar.mean_stop_i","int.scar.mean_stop_t","int.scar.se_qup_i","int.scar.se_qup_t","int.scar.se_rbp_i","int.scar.se_rbp_t","int.scar.se_stop_i","int.scar.se_stop_t","tot.BM","tot.BM.se","tot.DEN","tot.DEN.se","tot.L","tot.L.se","herb.BM","herb.BM.se","herb.DEN","herb.DEN.se","herb.L.s","herb.L.se","acan.BM","acan.BM.se","acan.DEN","acan.DEN.se","acan.L","acan.L.se","scar.BM","scar.BM.se","scar.DEN","scar.DEN.se","scar.L","scar.L.se","viride.BM","viride.BM.se","viride.DEN","viride.DEN.se","viride.L.n","viride.L","viride.L.se","vetula.BM","vetula.BM.se","vetula.DEN","vetula.DEN.se","vetula.L.n","vetula.L","vetula.L.se","aurofren.BM","aurofren.BM.se","aurofren.DEN","aurofren.DEN.se","aurofren.L.n","aurofren.L","aurofren.L.se","juvenile.BM","juvenile.BM.se","juvenile.DEN","juvenile.DEN.se","juvenile.L.n","juvenile.L","juvenile.L.se","intial.BM","intial.BM.se","intial.DEN","intial.DEN.se","intial.L.n","intial.L","intial.L.se","terminal.BM","terminal.BM.se","terminal.DEN","terminal.DEN.se","terminal.L.n","terminal.L","terminal.L.se","carn.BM","carn.BM.se","carn.DEN","carn.DEN.se","cover_AINV","cover_BC","cover_CCA","cover_CY","cover_LC","cover_MA","cover_OINV","cover_PEY","cover_TA","cover.se_AINV","cover.se_BC","cover.se_CCA","cover.se_CY","cover.se_LC","cover.se_MA","cover.se_OINV","cover.se_PEY","cover.se_TA","canopy_MA","canopy_TA","canopy.se_MA","canopy.se_TA","rugosity","rugosity.se","Spearfishing","Spear.binary","Diving"
"1","18th Palm","Bonaire",0.490370370488889,0.0230479813602567,0.644659048813591,0.0366775045160477,1045.66666666667,61.7908053068933,22.5632958801498,2.07250692285223,12.3807116104869,0.996515565823756,1.53333333333333,0.120548061809357,0.355555555555556,0.0554430821525964,0.211111111111111,0.0486892986328558,0.0333333333333333,0.0190275442634915,1.16666666666667,0.108617460884467,0.486564626,NA,0.494918699268293,0.0265085041797197,NA,0.0398218403247723,0.428571428571429,NA,0.268292682926829,0.0824786098842323,NA,0.0700556420309516,0.503395061962963,0.465909090954545,NA,NA,0.551086956565217,0.423148148277778,0.0394426869924422,0.0343018964001266,NA,NA,0.0568711539969238,0.0510935052238646,0.444444444444444,0.409090909090909,NA,NA,0.217391304347826,0.333333333333333,0.123266710272273,0.107290335336742,NA,NA,0.0879391124952055,0.114332390095006,12949.8601165606,2619.31075654865,70.1190476190476,13.2155369063025,15.4642205154651,0.736969707244816,4863.04673950714,1772.02759513569,32.0238095238095,11.3983562220779,16.7772959721523,0.916873499760405,2116.0974352369,1753.80183384139,15,11.8383065784555,14.4410540915395,0.487838981249728,2746.94930427024,183.676893903817,17.0238095238095,1.8621219375635,17.5351291191139,1.14704574120562,869.566789180833,138.528240036327,2.85714285714286,0.652050663696626,7,23.7333333333333,1.13340335918118,709.13124216119,120.947474786546,2.02380952380952,0.247817380888825,7,24.952380952381,2.258937067345,208.931234634167,55.1261556074118,2.26190476190476,0.595238095238095,7,15.5,0.961562881252794,15.9416909714286,7.37799684704751,2.14285714285714,1.25800535588471,4,7.32386363636364,1.76743516115813,846.410351103571,98.4876807439044,8.57142857142857,0.827644984706913,7,15.4913380270523,0.491549335082204,1834.83480864762,155.682477321171,5.95238095238095,0.461069445977073,7,23.2522108843537,0.561296008292677,1629.7147687125,368.048831290301,10.8333333333333,1.42028017207724,NA,NA,7.6,NA,44.6,5.4,NA,NA,34.3,NA,NA,3.42,NA,2.73,0.9,NA,NA,2.34,2.75,1.75,0.85,0.25,1.77,0.1,"None","No","High"
"2","Front Porch","Bonaire",0.382156862670588,0.0275980951819459,0.465690541755048,0.0334493231162915,745.058823529412,71.0743137994054,21.5034246575342,2.00541100267772,10.5689497716895,0.973513676097041,1.70588235294118,0.149531040416742,0.517647058823529,0.0795853482037149,0.482352941176471,0.0795853482037149,0.0117647058823529,0.011764705882353,0.870588235294118,0.101512697794307,0.415990990891892,NA,0.356076388833333,0.0408419103505327,NA,0.0373154603539897,0.405405405405405,NA,0.604166666666667,0.119177986984892,NA,0.106273029766691,0.461111110944444,0.373245614,NA,NA,0.401190476190476,0.320987654222222,0.0517574225355865,0.0623791194321239,NA,NA,0.0633090119353012,0.0443695290118763,0.333333333333333,0.473684210526316,NA,NA,0.428571428571429,0.740740740740741,0.140028008402801,0.192982456140351,NA,NA,0.130410132739325,0.156461882823316,12437.765928556,2092.14234647882,80.8333333333333,23.0061384723166,17.8193333441812,1.03116191380907,5530.56212322708,480.505986710447,19.7916666666667,3.06894163805338,23.003204812429,1.22657725657159,373.097805666667,123.494167547407,1.94444444444444,0.555555555555556,18.2222222222222,0.968644209675705,5250.73876897708,442.396046286348,18.3333333333333,2.65710089857069,23.2579966329966,1.12729937902766,3685.44311238542,160.625801628824,13.125,1.33398421613184,4,22.9880421865716,0.635935131380045,804.2650870625,303.959724914654,1.25,0.416666666666667,4,31.1666666666667,4.09267638593623,252.511304541667,97.230228622493,1.45833333333333,0.524294058004913,3,19.8888888888889,0.484322104837853,0,0,0,0,NA,NA,NA,2884.9499035125,477.788629941018,12.2916666666667,2.97316314286217,4,22.5570175438597,1.51214363284111,1830.2457634375,190.28132184974,3.95833333333333,0.711593803191639,4,28.377380952381,2.14890977209765,3309.77430529375,1448.46340856041,25.625,10.4989803296779,NA,NA,6.7,NA,44.9,0.88,NA,NA,32.1,NA,NA,1.2,NA,3.99,0.36,NA,NA,2.43,5.75,1.63,3.25,0.24,1.9,0.1,"None","No","High"
"3","Karpata","Bonaire",0.44523809510989,0.0199808884964669,0.637504105571177,0.0295921973660714,1037.8021978022,66.6184445006597,15.7070105820106,1.01171636537564,9.54310846560847,0.653299970673583,1.6043956043956,0.124897145355601,0.417582417582418,0.0700007571316703,0.307692307692308,0.0578244315331022,0.043956043956044,0.0216086171483555,1.14285714285714,0.115439837939504,0.471726190375,NA,0.402857142685714,0.0194655764218934,NA,0.041001615249134,0.517857142857143,NA,0.257142857142857,0.09184639714166,NA,0.103248554980892,0.511519607676471,0.410227272727273,NA,NA,0.504924242227273,0.230128205,0.0218562444810222,0.0327002094300913,NA,NA,0.0463774895980697,0.049986986018093,0.558823529411765,0.454545454545455,NA,NA,0.136363636363636,0.461538461538462,0.127998276438013,0.127025114728322,NA,NA,0.0748867700952649,0.24325212770526,5551.17812281024,579.612995901282,59.2857142857143,4.71204051072933,12.9708320262197,0.35623950337696,2658.64251318369,212.782414215136,27.7380952380952,2.45134050975881,13.0632293300354,0.536870395528284,162.58780704,34.451210981439,1.5,0.311804782231162,13.8,0.644204936336256,2542.50836529798,217.106930373769,26.6666666666667,2.5588315785958,13.0639626383469,0.543215043423179,577.026991586786,153.342072068739,4.04761904761905,0.934858649951567,7,13.9326530612245,1.31171263313698,707.969640232143,115.262183683607,2.97619047619048,0.50973145153433,7,23.2857142857143,0.967367210384914,319.141240221071,47.7308200599983,3.21428571428571,0.614759261302765,7,16.047619047619,0.648272312909909,98.8765016546429,31.8940397085548,9.52380952380952,2.19620541301932,7,5.75936008436008,0.592008770964869,1023.94894320119,212.677568347562,10.5952380952381,2.3898642737958,7,15.2427734170591,0.562399085765687,1301.0168884881,182.233039776355,4.88095238095238,0.527941853001987,7,22.9126984126984,0.649380967706515,1255.22959142262,320.706546235542,8.92857142857143,1.32030196504874,NA,NA,7.6,NA,59.8,7.91,NA,NA,21,NA,NA,0.78,NA,3.5,2.52,NA,NA,2.67,11.25,1.63,3.15,0.24,1.97,0.11,"None","No","High"
"4","Mermaid Gardens","Antigua",0.211858974211538,0.0252152063557477,0.618751183352374,0.0452779502626926,463.269230769231,54.997409203923,7.83490374873354,0.939507299357255,4.57317629179331,0.483829100012922,0.538461538461538,0.130151143317072,0.173076923076923,0.0763078717216788,0.173076923076923,0.0763078717216788,0,0,0.115384615384615,0.0447369229259846,0.241176470588235,0.236764705588235,0.160648148,0.039525051180107,0.041550443435439,0.0484828164599227,0.235294117647059,0.294117647058824,0,0.182495200676336,0.142578819335774,0,0.260119047571429,0.152777778,0.2172619045,0.327777777333333,0.1229166665,0.4625,0.044562198190558,0.0764267584071004,0.0487516967318901,0.0337931252687895,0.0338544337223655,0.345833333,0.214285714285714,0.333333333333333,0.285714285714286,0.333333333333333,0,0,0.214285714285714,0.333333333333333,0.163363392827676,0.333333333333333,0,0,5371.05293935683,876.580691937082,200.5,31.1176084485224,8.33668388538192,1.27141336687897,2946.8111273425,538.801568898839,36,2.39211668240122,15.2920401069519,0.954730670230137,1512.98658597833,246.397816047162,21.6666666666667,2.87469805177672,15.245308025308,0.359955438133172,1433.82454136417,378.228955737483,14.3333333333333,2.34816713393423,16.2445670995671,1.79601413744975,442.872229584,222.047831666284,4,1.09924216318941,5,14.4111111111111,3.86251373404406,459.700006205,125.38291142832,2.5,0.697216688778396,4,22.7208333333333,0.896582374187505,141.8664243135,32.3450185998215,3.66666666666667,0.726483157256779,5,10.4180952380952,0.935309375617455,4.8736465575,3.74686005731517,3.66666666666667,1.43372087784044,5,3.41818181818182,0.524286212919862,1119.05392375167,308.849657235192,8.66666666666667,1.67912013996749,5,19.7342063492063,1.23617009464614,309.896971055,91.5639252298926,2,0.623609564462324,5,20.7266666666667,2.89908797919468,310.553473872,59.0955466591731,4.5,1.00692049779955,0.8,0,1.8,3.71111111111111,10.8222222222222,15.4944444444444,6.14444444444444,0.4,60.8277777777778,0.58309518948453,0,0.8,1.3705905728986,2.72813416997455,4.02638290022934,1.16316936125526,0.244948974278318,4.70392205675747,13.5396428571429,3.60173544973545,1.11005511114234,0.203134301911599,1.3552,0.077945750365238,"Low","Yes","Med"
"5","Oil Slick","Bonaire",0.494736842136842,0.0225408166073589,0.608683071088148,0.0304207521422408,1055.05263157895,67.0334231093424,22.9800819252432,2.10395318650805,11.9569380440348,0.895451501345955,1.49473684210526,0.125096768107475,0.368421052631579,0.0749058858235269,0.294736842105263,0.0715743361929517,0.0315789473684211,0.0180371122881979,1.09473684210526,0.114045711165656,0.493137254980392,NA,0.496590909068182,0.0242723134545776,NA,0.0400490418471205,0.450980392156863,NA,0.272727272727273,0.123077292756668,NA,0.0752981133974974,0.54244791671875,0.410087719421053,NA,NA,0.575537634387097,0.308333333307692,0.0283224584113421,0.0381486511731969,NA,NA,0.0438801579488079,0.0614983843718018,0.53125,0.315789473684211,NA,NA,0.161290322580645,0.538461538461538,0.179517582704313,0.13361005448884,NA,NA,0.0671505161118107,0.183113549449817,7420.5067518994,698.206078408515,66.3095238095238,12.6038767746502,16.0692211763772,0.848210896023627,3742.48431771548,334.779885044259,18.9285714285714,1.98134725917777,18.9821884464742,0.656329997743847,212.165730395238,55.3883129162679,1.78571428571429,0.382684554007657,14.0595238095238,0.477231006019701,3530.31858732024,363.953918325772,17.1428571428571,1.8621219375635,19.4358374848765,0.690833375229716,983.022497094048,308.604969755687,3.45238095238095,0.423693581429814,7,20.8714285714286,2.05421464506806,1329.60540112738,176.097403222084,3.92857142857143,0.595238095238095,7,25.1690476190476,1.60930013943189,408.060131526191,78.6589236532213,3.0952380952381,0.673435029701474,7,17.5714285714286,0.917998414179117,25.0561228333333,12.6791019907663,1.07142857142857,0.434700442464417,5,9.6,0.678232998312527,1372.00924191786,148.612955115218,10.2380952380952,1.51834337061183,7,17.1952928024357,0.581970675975432,2119.58933475,278.055809684551,5.5952380952381,0.786675698476151,7,25.6137703566275,0.284697514940458,1020.39238374798,205.624139525071,8.80952380952381,1.72379417690266,NA,NA,9.8,NA,46.7,9.02,NA,NA,25.6,NA,NA,1.91,NA,7.64,2.41,NA,NA,4.1,13.75,1.38,3.75,0.24,1.68,0.07,"None","No","High"
"6","Pallaster East","Barbuda",0.332070447102041,0.0329717550083376,0.506204087922804,0.048443146286559,465.155204939119,35.3112382484963,15.0654761904762,1.92894240399243,5.5609623015873,0.549810962339361,0.0816326530612245,0.0395202382266063,0.0408163265306122,0.028559278271678,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.0204081632653061,0.1766666666,0.284487128,0.409299516826087,0.088325471499512,0.0470006548946699,0.0480372231307613,0,0.0476190476190476,0.0434782608695652,0,0.0476190476190476,0.0434782608695652,0.1766666666,NA,0.312955182,0.22755102,0.432516339823529,0.343518518333333,0.088325471499512,NA,0.0623295872744658,0.0666729572183671,0.0603439691109123,0.0688106883979896,0,NA,0.0714285714285714,0,0.0588235294117647,0,0,NA,0.0714285714285714,0,0.0588235294117647,0,4187.9564480125,1066.5391724001,167.666666666667,13.3967243094057,7.65356660690375,0.763072161490573,2388.90923455783,399.168882782138,115.666666666667,8.1453804221916,7.1069219180198,0.680998454159139,1283.319655338,254.896987200172,20,3.80970981688749,14.3009600203718,0.18125673813267,1105.58957921983,162.136733809094,95.6666666666667,10.5751280528102,5.60432963285104,0.472735173638255,454.345455652167,23.5244522022593,9.33333333333333,1.40435829552939,5,11.4735431235431,1.14898382746483,43.781761155,26.3019987272974,0.833333333333333,0.372677996249965,3,13.8333333333333,4.53075907302273,518.589117200333,139.747872452465,16,2.8553069498353,5,8.64433479532164,0.487395141921428,88.848535852,21.0358079294276,81.8333333333333,10.9208007439422,5,3.86697459881905,0.254672190898489,639.268261154,161.476921199035,9.83333333333333,2.24227067451228,5,15.0328947368421,0.503536661004012,373.912351266667,87.428523356931,2.33333333333333,0.552770798392567,5,21.6,0.551764845241561,80.0924290036667,61.7935321225103,1.16666666666667,0.623609564462324,3,0,0.8,44.0814814814815,5.60740740740741,31.8148148148148,3.05925925925926,0.533333333333333,11.1037037037037,2.28035085019828,0,0.374165738677394,7.20194113446176,2.06155613976945,4.80527545033946,0.859355039361653,0.343187671366233,2.7954352365715,26.9940158730159,4.03125,3.59541585562159,0.75065075934152,1.7474,0.126151734034852,"Low","No","Low"
