"","site","island","species","species_code","phase","vg_mean","vg_se","vg_capped_mean","vg_capped_se"
"1","18th Palm","Bonaire","Scarus vetula","qup","i",740.091728444444,70.4626775865215,145.40783350284,16.1948307254683
"2","18th Palm","Bonaire","Scarus vetula","qup","t",1314.12826315909,84.0932357397168,391.122851063534,32.7427818823606
"3","18th Palm","Bonaire","Sparisoma viride","stop","i",418.480227945652,48.8700798036661,95.1084952435459,13.8279856965666
"4","18th Palm","Bonaire","Sparisoma viride","stop","t",667.072339208333,96.1563321333011,207.010145720529,36.9128999306795
"5","Front Porch","Bonaire","Scarus vetula","qup","i",532.869321763333,71.1818386919399,101.892677686732,15.6975738870087
"6","Front Porch","Bonaire","Scarus vetula","qup","t",816.357037111579,168.431845634087,246.771539614831,53.1399032980464
"7","Front Porch","Bonaire","Sparisoma viride","stop","i",251.38856093,39.2041060335878,57.6487106997784,10.8069483293124
"8","Front Porch","Bonaire","Sparisoma viride","stop","t",432.881339076667,71.523793558993,148.156308614393,28.1318954635901
"9","Karpata","Bonaire","Scarus vetula","qup","i",659.933155970294,46.878941420392,133.781229354661,13.0279673746783
"10","Karpata","Bonaire","Scarus vetula","qup","t",823.075856412273,83.724742294865,230.876413636232,27.796974529799
"11","Karpata","Bonaire","Sparisoma viride","stop","i",320.156289370909,32.788311329463,76.6693430094929,9.40420405728084
"12","Karpata","Bonaire","Sparisoma viride","stop","t",285.874657126154,53.0375609606849,91.1904203358679,19.280903247504
"13","Mermaid Gardens","Antigua","Scarus vetula","qup","i",767.731795150857,156.262787086303,78.333968943344,18.9037521402274
"14","Mermaid Gardens","Antigua","Scarus vetula","qup","t",905.457421103364,503.182418265884,119.961821594787,70.5326048158776
"15","Mermaid Gardens","Antigua","Sparisoma viride","stop","i",269.963070840833,64.6417825497443,32.3459021519029,8.07464522897247
"16","Mermaid Gardens","Antigua","Sparisoma viride","stop","t",754.944827265999,355.200970166,93.0070599626955,33.8115237989806
"17","Oil Slick","Bonaire","Scarus vetula","qup","i",564.232843839375,44.0451472448601,130.901075308424,11.5202109377723
"18","Oil Slick","Bonaire","Scarus vetula","qup","t",867.804525056842,74.7174034943078,308.161591118375,28.0420129799509
"19","Oil Slick","Bonaire","Sparisoma viride","stop","i",310.888625405806,28.2926385693195,87.8133517337994,9.57005690170837
"20","Oil Slick","Bonaire","Sparisoma viride","stop","t",476.922464501538,83.6816006181313,192.46474737641,37.8705569241933
"21","Pallaster East","Barbuda","Scarus vetula","qup","i",400.332566025,136.109752992202,27.9502748619827,10.6672573524597
"22","Pallaster East","Barbuda","Sparisoma viride","stop","i",516.81616284375,55.6593676179495,40.4485707636469,4.95349632348247
"23","Pallaster East","Barbuda","Sparisoma viride","stop","t",797.22536425,134.376681944042,84.689105972553,16.6607022209053
"24","Pallaster Mid","Barbuda","Scarus vetula","qup","i",401.519635610491,94.3582669064995,27.4682064715434,8.45948470511457
"25","Pallaster Mid","Barbuda","Scarus vetula","qup","t",1418.98415188393,639.796722308654,184.487664720913,93.4139364559576
"26","Pallaster Mid","Barbuda","Sparisoma viride","stop","i",553.433722326923,107.252895062633,55.4666377768141,12.8879751420648
"27","Pallaster Mid","Barbuda","Sparisoma viride","stop","t",817.047875142857,169.168241734519,105.681890153034,25.1702706352357
"28","Pallaster West","Barbuda","Scarus vetula","qup","i",141.2246934,49.9285493814381,9.31761005927411,3.85567371892145
"29","Pallaster West","Barbuda","Scarus vetula","qup","t",0,NA,0,NA
"30","Pallaster West","Barbuda","Sparisoma viride","stop","i",267.2995248,118.795179344391,18.0200186332729,8.6841793665363
"31","Pallaster West","Barbuda","Sparisoma viride","stop","t",278.930412,147.008962970624,28.2610321204184,15.489874767821
"32","Pillars","Antigua","Scarus vetula","qup","i",1143.61098830893,160.817722281884,130.094152799852,19.8845129012798
"33","Pillars","Antigua","Scarus vetula","qup","t",568.714649958604,126.085850721176,69.8001089627482,16.2959633147129
"34","Pillars","Antigua","Sparisoma viride","stop","i",316.979049597656,53.5692149694138,38.0742208206629,7.19815945256592
"35","Pillars","Antigua","Sparisoma viride","stop","t",438.6456101625,67.7635390335839,60.2285874370031,10.3089140069177
"36","Rendezvous","Antigua","Sparisoma viride","stop","i",148.70224994336,30.4610097399745,13.9142571231418,3.16867300249512
"37","Rendezvous","Antigua","Sparisoma viride","stop","t",103.303736867611,53.9137742525783,11.9859167646087,6.44561367095236
"38","Snapper Point","Antigua","Scarus vetula","qup","i",222.965275417857,99.2812166089219,12.1194870197018,5.66909429486135
"39","Snapper Point","Antigua","Scarus vetula","qup","t",1158.44199961726,620.871349908685,95.072073325247,56.5872683709448
"40","Snapper Point","Antigua","Sparisoma viride","stop","i",264.873720482292,104.158725266964,17.3951193354098,6.62085846628691
"41","Snapper Point","Antigua","Sparisoma viride","stop","t",514.089360464063,353.313168208385,43.3887747723602,32.5902407970225
"42","Turtle Bay","Antigua","Scarus vetula","qup","i",421.273305625334,138.587147119487,45.2907351170928,15.4970512134992
"43","Turtle Bay","Antigua","Sparisoma viride","stop","i",231.455340442334,62.3262799145312,23.4656321156606,7.16136080459389
"44","Turtle Bay","Antigua","Sparisoma viride","stop","t",0,NA,0,NA
"45","Windward","Antigua","Scarus vetula","qup","i",395.706189391069,145.557018518732,38.8624321093621,18.5571384449689
"46","Windward","Antigua","Scarus vetula","qup","t",0,NA,0,NA
"47","Windward","Antigua","Sparisoma viride","stop","i",272.156600510818,82.1002189380755,32.2722165378691,11.9375744638326
"48","Windward","Antigua","Sparisoma viride","stop","t",849.78212983073,460.630064596355,129.971767171011,84.6794158275553
